batter,total_runs,balls_faced,total_fours,total_sixes,total_matches,batting_average,strike_rate,boundary_runs
SS Tiwary,1494,1291,111,50,73,20.47,115.72,744
DJ Hooda,1466,1170,96,61,96,15.27,125.3,750
S Badrinath,1441,1245,154,28,65,22.17,115.74,784
EJG Morgan,1406,1181,112,64,74,19.0,119.05,832
BJ Hodge,1400,1153,122,43,63,22.22,121.42,746
Abhishek Sharma,1377,925,128,73,61,22.57,148.86,950
SC Ganguly,1349,1326,137,42,56,24.09,101.73,800
CA Lynn,1329,974,132,66,42,31.64,136.45,924
VR Iyer,1326,1000,121,61,49,27.06,132.6,850
DJ Hussey,1322,1101,90,60,61,21.67,120.07,720
SO Hetmyer,1243,854,76,82,65,19.12,145.55,796
KM Jadhav,1208,1012,102,40,81,14.91,119.37,648
R Parag,1173,909,84,60,58,20.22,129.04,696
MM Ali,1162,849,95,67,57,20.39,136.87,782
Tilak Varma,1156,830,90,58,38,30.42,139.28,708
TM Dilshan,1153,1047,140,24,50,23.06,110.12,704
IK Pathan,1150,985,88,38,82,14.02,116.75,580
V Shankar,1115,890,80,45,58,19.22,125.28,590
ML Hayden,1107,839,121,44,32,34.59,131.94,748
M Vohra,1083,863,104,43,51,21.24,125.49,674
LMP Simmons,1079,878,109,44,29,37.21,122.89,700
B Sai Sudharsan,1034,770,95,32,25,41.36,134.29,572
LRPL Taylor,1017,847,66,46,54,18.83,120.07,540
R Tewatia,1013,788,84,47,65,15.58,128.55,618
KP Pietersen,1001,758,91,40,36,27.81,132.06,604
MC Henriques,1000,801,87,28,54,18.52,124.84,516
AK Markram,995,787,73,35,42,23.69,126.43,502
H Klaasen,993,613,56,64,32,31.03,161.99,608
Y Venugopal Rao,985,865,77,37,52,18.94,113.87,530
JA Morkel,975,712,61,55,67,14.55,136.94,574
A Symonds,974,781,74,41,36,27.06,124.71,542
CL White,971,774,76,38,45,21.58,125.45,532
LS Livingstone,939,609,66,66,39,24.08,154.19,660
BA Stokes,935,718,81,32,43,21.74,130.22,516
DP Conway,924,669,100,30,22,42.0,138.12,580
RK Singh,893,654,67,46,40,22.32,136.54,544
HH Gibbs,886,837,83,31,36,24.61,105.85,518
SM Curran,883,673,74,37,48,18.4,131.2,518
STR Binny,880,700,66,35,66,13.33,125.71,474
Harbhajan Singh,833,636,79,42,88,9.47,130.97,568
R Ashwin,800,698,61,28,89,8.99,114.61,412
RM Patidar,799,534,51,54,24,33.29,149.63,528
MS Bisla,798,737,93,23,39,20.46,108.28,510
Shakib Al Hasan,795,665,73,21,52,15.29,119.55,418
TM Head,772,458,76,40,25,30.88,168.56,544
ST Jayasuriya,768,573,84,39,30,25.6,134.03,570
P Simran Singh,756,528,78,41,34,22.24,143.18,558
GC Smith,739,691,94,9,29,25.48,106.95,430
JM Sharma,730,501,53,45,36,20.28,145.71,482
AD Mathews,724,599,44,29,41,17.66,120.87,350
C Green,707,472,62,32,28,25.25,149.79,440
TL Suman,676,587,55,26,39,17.33,115.16,376
AM Nayar,672,588,55,20,50,13.44,114.29,340
MR Marsh,665,532,48,38,36,18.47,125.0,420
GJ Bailey,663,552,59,19,36,18.42,120.11,350
TH David,659,417,38,46,35,18.83,158.03,428
E Lewis,654,499,62,36,26,25.15,131.06,464
PD Salt,653,385,74,34,21,31.1,169.61,500
A Badoni,634,505,46,24,35,18.11,125.54,328
PP Chawla,624,580,56,20,86,7.26,107.59,344
CH Morris,618,413,41,35,49,12.61,149.64,374
JJ Roy,614,460,75,21,21,29.24,133.48,426
JD Ryder,604,466,69,19,29,20.83,129.61,390
SN Khan,585,456,63,14,36,16.25,128.29,336
Abdul Samad,579,408,37,36,39,14.85,141.91,364
HM Amla,577,418,60,21,16,36.06,138.04,366
M Shahrukh Khan,553,413,35,37,37,14.95,133.9,362
Rashid Khan,545,355,39,38,58,9.4,153.52,384
CJ Anderson,538,436,40,31,29,18.55,123.39,346
Shahbaz Ahmed,536,467,28,25,37,14.49,114.78,262
RS Bopara,531,468,39,16,22,24.14,113.46,252
JP Faulkner,527,406,36,23,45,11.71,129.8,282
MK Lomror,527,389,33,30,35,15.06,135.48,312
PJ Cummins,515,359,33,34,39,13.21,143.45,336
M Manhas,514,486,43,10,38,13.53,105.76,232
Gurkeerat Singh,511,436,55,11,32,15.97,117.2,286
OA Shah,506,405,34,23,22,23.0,124.94,274
PC Valthaty,505,432,61,20,23,21.96,116.9,364
SW Billings,503,399,40,20,27,18.63,126.07,280
RR Rossouw,473,321,45,25,22,21.5,147.35,330
DT Christian,460,408,23,19,41,11.22,112.75,206
NLTC Perera,424,326,23,26,30,14.13,130.06,248
SA Asnodkar,423,352,56,10,19,22.26,120.17,284
Shashank Singh,423,272,33,25,19,22.26,155.51,282
JR Hopes,417,314,49,11,19,21.95,132.8,262
J Botha,409,364,39,5,28,14.61,112.36,186
T Stubbs,405,239,26,26,17,23.82,169.46,260
LR Shukla,405,358,33,16,33,12.27,113.13,228
AL Menaria,401,367,24,18,23,17.43,109.26,204
MV Boucher,394,318,32,13,23,17.13,123.9,206
CA Pujara,390,403,50,4,22,17.73,96.77,224
Azhar Mahmood,388,311,39,13,21,18.48,124.76,234
A Mishra,381,440,31,5,55,6.93,86.59,154
KR Mayers,379,276,38,22,13,29.15,137.32,284
Washington Sundar,378,341,32,9,38,9.95,110.85,182
DB Ravi Teja,375,325,35,9,25,15.0,115.38,194
S Sohal,368,311,34,18,20,18.4,118.33,244
P Negi,365,301,27,16,35,10.43,121.26,204
Abishek Porel,360,244,37,15,16,22.5,147.54,238
R Powell,360,254,21,28,22,16.36,141.73,252
DJ Mitchell,351,274,28,10,15,23.4,128.1,172
KV Sharma,351,306,20,17,39,9.0,114.71,182
N Wadhera,350,261,32,18,16,21.88,134.1,236
Dhruv Jurel,347,237,29,16,22,15.77,146.41,212
R Bhatia,342,290,24,13,47,7.28,117.93,174
P Kumar,340,323,22,17,57,5.96,105.26,190
AP Tare,339,285,40,11,27,12.56,118.95,226
J Fraser-McGurk,330,150,32,28,9,36.67,220.0,296
JEC Franklin,327,309,25,9,16,20.44,105.83,154
